No.,Opened,Closed,Premium,Profit/loss,Underlying Price at Open,Underlying Price at Close,Close reason
1,2/28/2025,4/17/2025,455,-2853.14,239.69,196.98,exercised
2,3/3/2025,4/17/2025,450,-2358.14,236.91,196.98,exercised
3,3/4/2025,4/17/2025,430,-2378.14,237.14,196.98,exercised
4,3/5/2025,4/17/2025,440,-2368.14,235.59,196.98,exercised
5,3/6/2025,4/17/2025,507,-2301.14,234.82,196.98,exercised
6,3/7/2025,4/25/2025,482,-1096.14,238.67,209.28,exercised
7,3/10/2025,4/25/2025,555,-23.14,226.88,209.28,exercised
8,3/11/2025,4/25/2025,522,443.86,221.29,209.28,exercised
9,3/12/2025,4/25/2025,497,495.86,215.92,209.28,expired
10,3/13/2025,4/25/2025,555,553.86,208.93,209.28,expired
11,3/14/2025,4/25/2025,360,358.86,212.93,209.28,expired
12,3/17/2025,5/2/2025,510,508.86,215.12,205.35,expired
13,3/18/2025,5/2/2025,447,445.86,212.93,205.35,expired
14,3/19/2025,5/2/2025,467,465.86,215.46,205.35,expired
15,3/20/2025,5/2/2025,512,510.86,213.8,205.35,expired
16,3/21/2025,5/2/2025,437,435.86,215.59,205.35,expired
17,3/24/2025,5/2/2025,397,-74.14,220.03,205.35,exercised
18,3/25/2025,5/16/2025,515,134.86,223.81,211.26,exercised
19,3/26/2025,5/16/2025,480,478.86,221.07,211.26,expired
20,3/27/2025,5/9/2025,445,-1208.14,224.88,198.53,exercised
21,3/28/2025,5/9/2025,402,-251.14,218.11,198.53,exercised
22,3/31/2025,5/16/2025,460,458.86,222.28,211.26,expired
23,4/1/2025,5/16/2025,455,453.86,222.38,211.26,expired
24,4/2/2025,5/16/2025,515,134.86,224.41,211.26,exercised
25,4/3/2025,5/16/2025,640,638.86,201.43,211.26,expired
26,4/4/2025,5/16/2025,792,790.86,191.01,211.26,expired
27,4/7/2025,5/23/2025,932,930.86,179.15,195.27,expired
28,4/8/2025,5/23/2025,1010,1008.86,170.25,195.27,expired
29,4/9/2025,5/23/2025,645,643.86,196.93,195.27,expired
30,4/10/2025,5/23/2025,940,938.86,189,195.27,expired
31,4/11/2025,5/23/2025,900,898.86,197.91,195.27,expired
32,4/14/2025,5/30/2025,712,710.86,205.5,200.85,expired
33,4/15/2025,5/30/2025,580,578.86,202.33,200.85,expired
34,4/16/2025,5/30/2025,757,755.86,193.57,200.85,expired
35,4/17/2025,5/30/2025,592,590.86,197.06,200.85,expired
36,4/21/2025,5/30/2025,602,600.86,191.92,200.85,expired
37,4/22/2025,5/30/2025,637,635.86,199.16,200.85,expired
38,4/23/2025,5/30/2025,602,600.86,204.36,200.85,expired
39,4/24/2025,6/6/2025,642,640.86,208.16,203.92,expired
40,4/25/2025,6/6/2025,590,588.86,208.25,203.92,expired
41,4/28/2025,6/6/2025,500,498.86,210.82,203.92,expired
