No.,Opened,Closed,Premium,Profit/loss,Underlying Price at Open,Underlying Price at Close,Close reason,Buying power,Fees,ROI
1,8/1/2025,9/12/2025,298,296.86,202.59,234.07,expired,3800,1.14,7.81
2,8/4/2025,9/19/2025,317,315.86,202.49,245.5,expired,3800,1.14,8.31
3,8/5/2025,9/19/2025,425,423.86,202.92,245.5,expired,3900,1.14,10.87
4,8/6/2025,9/19/2025,402,400.86,213.97,245.5,expired,4100,1.14,9.78
5,8/7/2025,9/19/2025,360,358.86,220.1,245.5,expired,4200,1.14,8.54
6,8/8/2025,9/19/2025,390,388.86,229.26,245.5,expired,4400,1.14,8.84
7,8/11/2025,9/26/2025,327,325.86,227.16,255.46,expired,4300,1.14,7.58
8,8/12/2025,9/26/2025,382,380.86,229.34,255.46,expired,4400,1.14,8.66
9,8/13/2025,9/26/2025,269,267.86,234.05,255.46,expired,4400,1.14,6.09
10,8/14/2025,9/26/2025,277,275.86,232.96,255.46,expired,4400,1.14,6.27
11,8/15/2025,9/26/2025,291,289.86,231.68,255.46,expired,4400,1.14,6.59
12,8/18/2025,9/26/2025,286,284.86,231.39,255.46,expired,4400,1.14,6.47
13,8/19/2025,9/26/2025,305,303.86,230.3,255.46,expired,4400,1.14,6.91
14,8/20/2025,9/26/2025,268,266.86,226.7,255.46,expired,4300,1.14,6.21
15,8/21/2025,10/3/2025,365,363.86,224.74,258.02,expired,4300,1.14,8.46
16,8/22/2025,10/3/2025,255,253.86,227.94,258.02,expired,4300,1.14,5.9
17,8/25/2025,10/3/2025,264,262.86,227.69,258.02,expired,4300,1.14,6.11
18,8/26/2025,10/17/2025,320,318.86,228.4,252.29,expired,4300,1.14,7.42
19,8/27/2025,10/17/2025,382,380.86,230.59,252.29,expired,4400,1.14,8.66
20,8/28/2025,10/10/2025,274,272.86,232.95,245.27,expired,4400,1.14,6.2
21,8/29/2025,10/10/2025,276,274.86,232.68,245.27,expired,4400,1.14,6.25
22,9/2/2025,10/17/2025,400,398.86,229.05,252.29,expired,4400,1.14,9.06
23,9/3/2025,10/17/2025,286,284.86,237.77,252.29,expired,4500,1.14,6.33
