No.,Opened,Closed,Premium,Profit/loss,Underlying Price at Open,Underlying Price at Close,Close reason
1,2025-02-28,2025-04-17,455,-2853.14,239.69,196.98,exercised
2,2025-03-03,2025-04-17,450,-2358.14,236.91,196.98,exercised
3,2025-03-04,2025-04-17,430,-2378.14,237.14,196.98,exercised
4,2025-03-05,2025-04-17,440,-2368.14,235.59,196.98,exercised
5,2025-03-06,2025-04-17,507,-2301.14,234.82,196.98,exercised
6,2025-03-07,2025-04-25,482,-1096.14,238.67,209.28,exercised
7,2025-03-10,2025-04-25,555,-23.14,226.88,209.28,exercised
8,2025-03-11,2025-04-25,522,443.86,221.29,209.28,exercised
9,2025-03-12,2025-04-25,497,495.86,215.92,209.28,expired
10,2025-03-13,2025-04-25,555,553.86,208.93,209.28,expired
11,2025-03-14,2025-04-25,360,358.86,212.93,209.28,expired
12,2025-03-17,2025-05-02,510,508.86,215.12,205.35,expired
13,2025-03-18,2025-05-02,447,445.86,212.93,205.35,expired
14,2025-03-19,2025-05-02,467,465.86,215.46,205.35,expired
15,2025-03-20,2025-05-02,512,510.86,213.8,205.35,expired
16,2025-03-21,2025-05-02,437,435.86,215.59,205.35,expired
17,2025-03-24,2025-05-02,397,-74.14,220.03,205.35,exercised
18,2025-03-25,2025-05-16,515,134.86,223.81,211.26,exercised
19,2025-03-26,2025-05-16,480,478.86,221.07,211.26,expired
20,2025-03-27,2025-05-09,445,-1208.14,224.88,198.53,exercised
21,2025-03-28,2025-05-09,402,-251.14,218.11,198.53,exercised
22,2025-03-31,2025-05-16,460,458.86,222.28,211.26,expired
23,2025-04-01,2025-05-16,455,453.86,222.38,211.26,expired
24,2025-04-02,2025-05-16,515,134.86,224.41,211.26,exercised
25,2025-04-03,2025-05-16,640,638.86,201.43,211.26,expired
26,2025-04-04,2025-05-16,792,790.86,191.01,211.26,expired
27,2025-04-07,2025-05-23,932,930.86,179.15,195.27,expired
28,2025-04-08,2025-05-23,1010,1008.86,170.25,195.27,expired
29,2025-04-09,2025-05-23,645,643.86,196.93,195.27,expired
30,2025-04-10,2025-05-23,940,938.86,189.0,195.27,expired
31,2025-04-11,2025-05-23,900,898.86,197.91,195.27,expired
32,2025-04-14,2025-05-30,712,710.86,205.5,200.85,expired
33,2025-04-15,2025-05-30,580,578.86,202.33,200.85,expired
34,2025-04-16,2025-05-30,757,755.86,193.57,200.85,expired
35,2025-04-17,2025-05-30,592,590.86,197.06,200.85,expired
36,2025-04-21,2025-05-30,602,600.86,191.92,200.85,expired
37,2025-04-22,2025-05-30,637,635.86,199.16,200.85,expired
38,2025-04-23,2025-05-30,602,600.86,204.36,200.85,expired
39,2025-04-24,2025-06-06,642,640.86,208.16,203.92,expired
40,2025-04-25,2025-06-06,590,588.86,208.25,203.92,expired
41,2025-04-28,2025-06-06,500,498.86,210.82,203.92,expired
42,2025-04-29,2025-06-20,580,578.86,210.99,201.0,expired
43,2025-04-30,2025-06-20,610,608.86,211.15,201.0,expired
44,2025-05-01,2025-06-13,647,-214.14,213.45,196.45,exercised
45,2025-05-02,2025-06-13,467,465.86,204.19,196.45,expired
46,2025-05-05,2025-06-20,525,523.86,199.13,201.0,expired
47,2025-05-06,2025-06-20,490,488.86,200.13,201.0,expired
48,2025-05-07,2025-06-20,462,460.86,196.56,201.0,expired
49,2025-05-08,2025-06-20,505,503.86,198.41,201.0,expired
50,2025-05-09,2025-06-20,477,475.86,198.55,201.0,expired
51,2025-05-12,2025-06-27,385,383.86,210.12,201.08,expired
52,2025-05-13,2025-06-27,305,303.86,212.82,201.08,expired
53,2025-05-14,2025-06-27,365,363.86,211.44,201.08,expired
54,2025-05-15,2025-06-27,360,358.86,210.43,201.08,expired
55,2025-05-16,2025-06-27,320,318.86,211.26,201.08,expired
56,2025-05-19,2025-06-27,395,393.86,208.28,201.08,expired
57,2025-05-20,2025-06-27,332,330.86,206.12,201.08,expired
58,2025-05-21,2025-06-27,362,360.86,201.82,201.08,expired
59,2025-05-22,2025-07-03,417,415.86,201.58,213.55,expired
60,2025-05-23,2025-07-03,450,448.86,195.56,213.55,expired
61,2025-05-27,2025-07-18,480,478.86,200.27,211.18,expired
62,2025-05-28,2025-07-18,430,428.86,201.21,211.18,expired
63,2025-05-29,2025-07-11,430,428.86,199.52,211.16,expired
64,2025-05-30,2025-07-11,400,398.86,199.87,211.16,expired
65,2025-06-02,2025-07-18,377,375.86,201.56,211.18,expired
66,2025-06-03,2025-07-18,440,438.86,203.14,211.18,expired
67,2025-06-04,2025-07-18,427,425.86,203.19,211.18,expired
68,2025-06-05,2025-07-18,360,358.86,200.87,211.18,expired
69,2025-06-06,2025-07-18,360,358.86,205.05,211.18,expired
70,2025-06-09,2025-07-25,370,368.86,201.01,213.88,expired
71,2025-06-10,2025-07-25,425,423.86,202.75,213.88,expired
72,2025-06-11,2025-07-25,405,403.86,198.96,213.88,expired
73,2025-06-12,2025-07-25,392,390.86,198.59,213.88,expired
74,2025-06-13,2025-07-25,345,343.86,195.89,213.88,expired
75,2025-06-16,2025-08-01,472,470.86,198.34,202.38,expired
76,2025-06-17,2025-08-01,420,418.86,195.62,202.38,expired
77,2025-06-18,2025-08-01,375,373.86,196.16,202.38,expired
78,2025-06-20,2025-08-01,400,398.86,200.0,202.38,expired
79,2025-06-23,2025-08-01,325,323.86,201.31,202.38,expired
80,2025-06-24,2025-08-15,417,415.86,200.85,231.59,expired
81,2025-06-25,2025-08-15,402,400.86,201.11,231.59,expired
82,2025-06-26,2025-08-08,352,350.86,201.13,229.35,expired
83,2025-06-27,2025-08-08,357,355.86,201.0,229.35,expired
84,2025-06-30,2025-08-15,402,400.86,206.49,231.59,expired
85,2025-07-01,2025-08-15,352,350.86,207.72,231.59,expired
86,2025-07-02,2025-08-15,357,355.86,212.06,231.59,expired
87,2025-07-03,2025-08-15,422,420.86,213.82,231.59,expired
88,2025-07-07,2025-08-22,465,463.86,209.39,227.76,expired
89,2025-07-08,2025-08-22,437,435.86,209.52,227.76,expired
90,2025-07-09,2025-08-22,405,403.86,210.33,227.76,expired
91,2025-07-10,2025-08-22,315,313.86,212.87,227.76,expired
92,2025-07-11,2025-08-22,355,353.86,211.13,227.76,expired
93,2025-07-14,2025-08-29,455,453.86,208.57,232.14,expired
94,2025-07-15,2025-08-29,425,423.86,209.67,232.14,expired
95,2025-07-16,2025-08-29,385,383.86,210.53,232.14,expired
96,2025-07-17,2025-08-29,385,383.86,210.63,232.14,expired
97,2025-07-18,2025-08-29,357,355.86,211.0,232.14,expired
98,2025-07-21,2025-08-29,307,305.86,212.31,232.14,expired
99,2025-07-22,2025-08-29,400,398.86,214.15,232.14,expired
100,2025-07-23,2025-08-29,400,398.86,214.01,232.14,expired
101,2025-07-24,2025-09-05,387,385.86,214.67,239.69,expired
102,2025-07-25,2025-09-05,402,400.86,213.69,239.69,expired
103,2025-07-28,2025-09-05,392,390.86,213.77,239.69,expired
104,2025-07-29,2025-09-19,420,418.86,211.75,245.5,expired
105,2025-07-30,2025-09-19,515,513.86,208.38,245.5,expired
106,2025-07-31,2025-09-12,472,470.86,208.54,234.07,expired
107,2025-08-01,2025-09-12,298,296.86,202.59,234.07,expired
108,2025-08-04,2025-09-19,317,315.86,202.49,245.5,expired
109,2025-08-05,2025-09-19,425,423.86,202.92,245.5,expired
110,2025-08-06,2025-09-19,402,400.86,213.97,245.5,expired
111,2025-08-07,2025-09-19,360,358.86,220.1,245.5,expired
112,2025-08-08,2025-09-19,390,388.86,229.26,245.5,expired
113,2025-08-11,2025-09-26,327,325.86,227.16,255.46,expired
114,2025-08-12,2025-09-26,382,380.86,229.34,255.46,expired
115,2025-08-13,2025-09-26,269,267.86,234.05,255.46,expired
116,2025-08-14,2025-09-26,277,275.86,232.96,255.46,expired
117,2025-08-15,2025-09-26,291,289.86,231.68,255.46,expired
118,2025-08-18,2025-09-26,286,284.86,231.39,255.46,expired
119,2025-08-19,2025-09-26,305,303.86,230.3,255.46,expired
120,2025-08-20,2025-09-26,268,266.86,226.7,255.46,expired
121,2025-08-21,2025-10-03,365,363.86,224.74,258.02,expired
122,2025-08-22,2025-10-03,255,253.86,227.94,258.02,expired
123,2025-08-25,2025-10-03,264,262.86,227.69,258.02,expired
124,2025-08-26,2025-10-17,320,318.86,228.4,252.29,expired
125,2025-08-27,2025-10-17,382,380.86,230.59,252.29,expired
126,2025-08-28,2025-10-10,274,272.86,232.95,245.27,expired
127,2025-08-29,2025-10-10,276,274.86,232.68,245.27,expired
128,2025-09-02,2025-10-17,400,398.86,229.05,252.29,expired
129,2025-09-03,2025-10-17,286,284.86,237.77,252.29,expired
130,2025-09-04,2025-10-17,252,250.86,238.84,252.29,expired
131,2025-09-05,2025-10-17,312,310.86,239.91,252.29,expired
132,2025-09-08,2025-10-24,280,278.86,237.72,262.82,expired
133,2025-09-09,2025-10-24,261,259.86,233.6,262.82,expired
134,2025-09-10,2025-10-24,315,313.86,226.5,262.82,expired
135,2025-09-11,2025-10-24,301,299.86,230.2,262.82,expired
136,2025-09-12,2025-10-24,233,231.86,233.81,262.82,expired
137,2025-09-15,2025-10-31,410,408.86,235.73,270.37,expired
138,2025-09-16,2025-10-31,330,328.86,238.94,270.37,expired
139,2025-09-17,2025-10-31,315,313.86,238.81,270.37,expired
140,2025-09-18,2025-10-31,335,333.86,237.76,270.37,expired
141,2025-09-19,2025-10-31,412,410.86,245.03,270.37,expired
142,2025-09-22,2025-10-31,425,423.86,255.93,270.37,expired
143,2025-09-23,2025-10-31,340,338.86,254.14,270.37,expired
144,2025-09-24,2025-10-31,375,373.86,251.56,270.37,expired
145,2025-09-25,2025-11-07,497,495.86,256.12,268.47,expired
146,2025-09-26,2025-11-07,335,333.86,255.13,268.47,expired
147,2025-09-29,2025-11-07,325,323.86,254.2,268.47,expired
148,2025-09-30,2025-11-21,410,408.86,254.11,271.49,expired
149,2025-10-01,2025-11-21,517,515.86,255.41,271.49,expired
150,2025-10-02,2025-11-14,410,408.86,257.46,272.41,expired
151,2025-10-03,2025-11-14,382,380.86,258.1,272.41,expired
152,2025-10-06,2025-11-21,460,458.86,257.01,271.49,expired
153,2025-10-07,2025-11-21,445,443.86,256.54,271.49,expired
154,2025-10-08,2025-11-21,395,393.86,258.16,271.49,expired
155,2025-10-09,2025-11-21,380,378.86,253.63,271.49,expired
156,2025-10-10,2025-11-21,497,495.86,246.69,271.49,expired
157,2025-10-13,2025-11-28,420,418.86,248.33,278.85,expired
158,2025-10-14,2025-11-28,457,455.86,247.02,278.85,expired
159,2025-10-15,2025-11-28,402,400.86,249.38,278.85,expired
160,2025-10-16,2025-11-28,495,493.86,247.03,278.85,expired
161,2025-10-17,2025-11-28,427,425.86,253.13,278.85,expired
162,2025-10-20,2025-11-28,410,408.86,263.6,278.85,expired
163,2025-10-21,2025-11-28,395,393.86,263.04,278.85,expired
164,2025-10-22,2025-11-28,410,408.86,257.56,278.85,expired
165,2025-10-23,2025-12-05,292,290.86,259.95,278.78,expired
166,2025-10-24,2025-12-05,377,375.86,263.29,278.78,expired
167,2025-10-27,2025-12-05,400,398.86,267.73,278.78,expired
168,2025-10-28,2025-12-19,440,438.86,268.9,273.67,expired
169,2025-10-29,2025-12-19,435,433.86,269.63,273.67,expired
170,2025-10-30,2025-12-12,460,458.86,271.4,278.28,expired
171,2025-10-31,2025-12-12,370,368.86,272.08,278.28,expired
172,2025-11-03,2025-12-19,375,373.86,268.04,273.67,expired
173,2025-11-04,2025-12-19,330,328.86,270.26,273.67,expired
174,2025-11-05,2025-12-19,330,328.86,269.28,273.67,expired
175,2025-11-06,2025-12-19,317,315.86,271.02,273.67,expired
176,2025-11-07,2025-12-19,360,358.86,268.46,273.67,expired
177,2025-11-10,2025-12-26,340,338.86,268.8,273.4,expired
178,2025-11-11,2025-12-26,294,292.86,275.63,273.4,expired
179,2025-11-12,2025-12-26,327,325.86,273.9,273.4,expired
180,2025-11-13,2025-12-26,380,378.86,273.35,273.4,expired
181,2025-11-14,2025-12-26,357,355.86,272.95,273.4,expired
182,2025-11-17,2026-01-02,435,433.86,266.7,271.01,expired
183,2025-11-18,2026-01-02,412,410.86,267.92,271.01,expired
184,2025-11-19,2026-01-02,362,360.86,269.51,271.01,expired
185,2025-11-20,2026-01-02,457,455.86,266.75,271.01,expired
186,2025-11-21,2026-01-02,425,423.86,271.58,271.01,expired
187,2025-11-24,2026-01-02,360,358.86,276.85,271.01,expired
188,2025-11-25,2026-01-16,437,-516.14,277.36,255.53,exercised
189,2025-11-26,2026-01-09,295,-274.14,278.21,259.37,exercised
190,2025-11-28,2026-01-09,323,-246.14,277.16,259.37,exercised
191,2025-12-01,2026-01-16,370,-1083.14,282.42,255.53,exercised
192,2025-12-02,2026-01-16,282,-1171.14,286.44,255.53,exercised
