Date,Time,Trade No.,Type,Instrument,Price,Quantity,Value,Effect
2/28/2025,10:45:00 PM GMT+2,1,sell to open,AAPL $230 put exp. 4/17/2025,455,1,455,credit
3/3/2025,10:45:00 PM GMT+2,2,sell to open,AAPL $225 put exp. 4/17/2025,450,1,450,credit
3/4/2025,10:45:00 PM GMT+2,3,sell to open,AAPL $225 put exp. 4/17/2025,430,1,430,credit
3/5/2025,10:45:00 PM GMT+2,4,sell to open,AAPL $225 put exp. 4/17/2025,440,1,440,credit
3/6/2025,10:45:00 PM GMT+2,5,sell to open,AAPL $225 put exp. 4/17/2025,507,1,507,credit
3/7/2025,10:45:00 PM GMT+2,6,sell to open,AAPL $225 put exp. 4/25/2025,482,1,482,credit
3/10/2025,9:45:00 PM GMT+2,7,sell to open,AAPL $215 put exp. 4/25/2025,555,1,555,credit
3/11/2025,9:45:00 PM GMT+2,8,sell to open,AAPL $210 put exp. 4/25/2025,522,1,522,credit
3/12/2025,9:45:00 PM GMT+2,9,sell to open,AAPL $205 put exp. 4/25/2025,497,1,497,credit
3/13/2025,9:45:00 PM GMT+2,10,sell to open,AAPL $200 put exp. 4/25/2025,555,1,555,credit
3/14/2025,9:45:00 PM GMT+2,11,sell to open,AAPL $200 put exp. 4/25/2025,360,1,360,credit
3/17/2025,9:45:00 PM GMT+2,12,sell to open,AAPL $205 put exp. 5/2/2025,510,1,510,credit
3/18/2025,9:45:00 PM GMT+2,13,sell to open,AAPL $200 put exp. 5/2/2025,447,1,447,credit
3/19/2025,9:45:00 PM GMT+2,14,sell to open,AAPL $205 put exp. 5/2/2025,467,1,467,credit
3/20/2025,9:45:00 PM GMT+2,15,sell to open,AAPL $205 put exp. 5/2/2025,512,1,512,credit
3/21/2025,9:45:00 PM GMT+2,16,sell to open,AAPL $205 put exp. 5/2/2025,437,1,437,credit
3/24/2025,9:45:00 PM GMT+2,17,sell to open,AAPL $210 put exp. 5/2/2025,397,1,397,credit
3/25/2025,9:45:00 PM GMT+2,18,sell to open,AAPL $215 put exp. 5/16/2025,515,1,515,credit
3/26/2025,9:45:00 PM GMT+2,19,sell to open,AAPL $210 put exp. 5/16/2025,480,1,480,credit
3/27/2025,9:45:00 PM GMT+2,20,sell to open,AAPL $215 put exp. 5/9/2025,445,1,445,credit
3/28/2025,9:45:00 PM GMT+2,21,sell to open,AAPL $205 put exp. 5/9/2025,402,1,402,credit
3/31/2025,10:45:00 PM GMT+3,22,sell to open,AAPL $210 put exp. 5/16/2025,460,1,460,credit
4/1/2025,10:45:00 PM GMT+3,23,sell to open,AAPL $210 put exp. 5/16/2025,455,1,455,credit
4/2/2025,10:45:00 PM GMT+3,24,sell to open,AAPL $215 put exp. 5/16/2025,515,1,515,credit
4/3/2025,10:45:00 PM GMT+3,25,sell to open,AAPL $190 put exp. 5/16/2025,640,1,640,credit
4/4/2025,10:45:00 PM GMT+3,26,sell to open,AAPL $180 put exp. 5/16/2025,792,1,792,credit
4/7/2025,10:45:00 PM GMT+3,27,sell to open,AAPL $170 put exp. 5/23/2025,932,1,932,credit
4/8/2025,10:45:00 PM GMT+3,28,sell to open,AAPL $160 put exp. 5/23/2025,1010,1,1010,credit
4/9/2025,10:45:00 PM GMT+3,29,sell to open,AAPL $185 put exp. 5/23/2025,645,1,645,credit
4/10/2025,10:45:00 PM GMT+3,30,sell to open,AAPL $180 put exp. 5/23/2025,940,1,940,credit
4/11/2025,10:45:00 PM GMT+3,31,sell to open,AAPL $190 put exp. 5/23/2025,900,1,900,credit
4/14/2025,10:45:00 PM GMT+3,32,sell to open,AAPL $195 put exp. 5/30/2025,712,1,712,credit
4/15/2025,10:45:00 PM GMT+3,33,sell to open,AAPL $190 put exp. 5/30/2025,580,1,580,credit
4/16/2025,10:45:00 PM GMT+3,34,sell to open,AAPL $185 put exp. 5/30/2025,757,1,757,credit
4/17/2025,10:45:00 PM GMT+3,35,sell to open,AAPL $185 put exp. 5/30/2025,592,1,592,credit
4/17/2025,11:00:00 PM GMT+3,1,exercise,AAPL $230 put exp. 4/17/2025,0,1,0,debit
4/17/2025,11:00:00 PM GMT+3,1,assignment,AAPL shares,230,100,23000,debit
4/17/2025,11:00:00 PM GMT+3,1,sell to close,AAPL shares,196.98,100,19698,credit
4/17/2025,11:00:00 PM GMT+3,2,exercise,AAPL $225 put exp. 4/17/2025,0,1,0,debit
4/17/2025,11:00:00 PM GMT+3,2,assignment,AAPL shares,225,100,22500,debit
4/17/2025,11:00:00 PM GMT+3,2,sell to close,AAPL shares,196.98,100,19698,credit
4/17/2025,11:00:00 PM GMT+3,3,exercise,AAPL $225 put exp. 4/17/2025,0,1,0,debit
4/17/2025,11:00:00 PM GMT+3,3,assignment,AAPL shares,225,100,22500,debit
