Date,Time,Trade No.,Type,Instrument,Price,Quantity,Value,Effect,Fees
2025/02/28 00:00:00,10:45:00 PM GMT+2,1,sell to open,AAPL $230 put exp. 4/17/2025,455.0,1,455,credit,1.142
2025/03/03 00:00:00,10:45:00 PM GMT+2,2,sell to open,AAPL $225 put exp. 4/17/2025,450.0,1,450,credit,1.142
2025/03/04 00:00:00,10:45:00 PM GMT+2,3,sell to open,AAPL $225 put exp. 4/17/2025,430.0,1,430,credit,1.142
2025/03/05 00:00:00,10:45:00 PM GMT+2,4,sell to open,AAPL $225 put exp. 4/17/2025,440.0,1,440,credit,1.142
2025/03/06 00:00:00,10:45:00 PM GMT+2,5,sell to open,AAPL $225 put exp. 4/17/2025,507.0,1,507,credit,1.142
2025/03/07 00:00:00,10:45:00 PM GMT+2,6,sell to open,AAPL $225 put exp. 4/25/2025,482.0,1,482,credit,1.142
2025/03/10 00:00:00,9:45:00 PM GMT+2,7,sell to open,AAPL $215 put exp. 4/25/2025,555.0,1,555,credit,1.142
2025/03/11 00:00:00,9:45:00 PM GMT+2,8,sell to open,AAPL $210 put exp. 4/25/2025,522.0,1,522,credit,1.142
2025/03/12 00:00:00,9:45:00 PM GMT+2,9,sell to open,AAPL $205 put exp. 4/25/2025,497.0,1,497,credit,1.142
2025/03/13 00:00:00,9:45:00 PM GMT+2,10,sell to open,AAPL $200 put exp. 4/25/2025,555.0,1,555,credit,1.142
2025/03/14 00:00:00,9:45:00 PM GMT+2,11,sell to open,AAPL $200 put exp. 4/25/2025,360.0,1,360,credit,1.142
2025/03/17 00:00:00,9:45:00 PM GMT+2,12,sell to open,AAPL $205 put exp. 5/2/2025,510.0,1,510,credit,1.142
2025/03/18 00:00:00,9:45:00 PM GMT+2,13,sell to open,AAPL $200 put exp. 5/2/2025,447.0,1,447,credit,1.142
2025/03/19 00:00:00,9:45:00 PM GMT+2,14,sell to open,AAPL $205 put exp. 5/2/2025,467.0,1,467,credit,1.142
2025/03/20 00:00:00,9:45:00 PM GMT+2,15,sell to open,AAPL $205 put exp. 5/2/2025,512.0,1,512,credit,1.142
2025/03/21 00:00:00,9:45:00 PM GMT+2,16,sell to open,AAPL $205 put exp. 5/2/2025,437.0,1,437,credit,1.142
2025/03/24 00:00:00,9:45:00 PM GMT+2,17,sell to open,AAPL $210 put exp. 5/2/2025,397.0,1,397,credit,1.142
2025/03/25 00:00:00,9:45:00 PM GMT+2,18,sell to open,AAPL $215 put exp. 5/16/2025,515.0,1,515,credit,1.142
2025/03/26 00:00:00,9:45:00 PM GMT+2,19,sell to open,AAPL $210 put exp. 5/16/2025,480.0,1,480,credit,1.142
2025/03/27 00:00:00,9:45:00 PM GMT+2,20,sell to open,AAPL $215 put exp. 5/9/2025,445.0,1,445,credit,1.142
2025/03/28 00:00:00,9:45:00 PM GMT+2,21,sell to open,AAPL $205 put exp. 5/9/2025,402.0,1,402,credit,1.142
2025/03/31 00:00:00,10:45:00 PM GMT+3,22,sell to open,AAPL $210 put exp. 5/16/2025,460.0,1,460,credit,1.142
2025/04/01 00:00:00,10:45:00 PM GMT+3,23,sell to open,AAPL $210 put exp. 5/16/2025,455.0,1,455,credit,1.142
2025/04/02 00:00:00,10:45:00 PM GMT+3,24,sell to open,AAPL $215 put exp. 5/16/2025,515.0,1,515,credit,1.142
2025/04/03 00:00:00,10:45:00 PM GMT+3,25,sell to open,AAPL $190 put exp. 5/16/2025,640.0,1,640,credit,1.142
2025/04/04 00:00:00,10:45:00 PM GMT+3,26,sell to open,AAPL $180 put exp. 5/16/2025,792.0,1,792,credit,1.142
2025/04/07 00:00:00,10:45:00 PM GMT+3,27,sell to open,AAPL $170 put exp. 5/23/2025,932.0,1,932,credit,1.142
2025/04/08 00:00:00,10:45:00 PM GMT+3,28,sell to open,AAPL $160 put exp. 5/23/2025,1010.0,1,1010,credit,1.142
2025/04/09 00:00:00,10:45:00 PM GMT+3,29,sell to open,AAPL $185 put exp. 5/23/2025,645.0,1,645,credit,1.142
2025/04/10 00:00:00,10:45:00 PM GMT+3,30,sell to open,AAPL $180 put exp. 5/23/2025,940.0,1,940,credit,1.142
2025/04/11 00:00:00,10:45:00 PM GMT+3,31,sell to open,AAPL $190 put exp. 5/23/2025,900.0,1,900,credit,1.142
2025/04/14 00:00:00,10:45:00 PM GMT+3,32,sell to open,AAPL $195 put exp. 5/30/2025,712.0,1,712,credit,1.142
2025/04/15 00:00:00,10:45:00 PM GMT+3,33,sell to open,AAPL $190 put exp. 5/30/2025,580.0,1,580,credit,1.142
2025/04/16 00:00:00,10:45:00 PM GMT+3,34,sell to open,AAPL $185 put exp. 5/30/2025,757.0,1,757,credit,1.142
2025/04/17 00:00:00,10:45:00 PM GMT+3,35,sell to open,AAPL $185 put exp. 5/30/2025,592.0,1,592,credit,1.142
2025/04/17 00:00:00,11:00:00 PM GMT+3,1,exercise,AAPL $230 put exp. 4/17/2025,0.0,1,0,debit,5.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,1,assignment,AAPL shares,230.0,100,23000,debit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,1,sell to close,AAPL shares,196.98,100,19698,credit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,2,exercise,AAPL $225 put exp. 4/17/2025,0.0,1,0,debit,5.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,2,assignment,AAPL shares,225.0,100,22500,debit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,2,sell to close,AAPL shares,196.98,100,19698,credit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,3,exercise,AAPL $225 put exp. 4/17/2025,0.0,1,0,debit,5.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,3,assignment,AAPL shares,225.0,100,22500,debit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,3,sell to close,AAPL shares,196.98,100,19698,credit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,4,exercise,AAPL $225 put exp. 4/17/2025,0.0,1,0,debit,5.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,4,assignment,AAPL shares,225.0,100,22500,debit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,4,sell to close,AAPL shares,196.98,100,19698,credit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,5,exercise,AAPL $225 put exp. 4/17/2025,0.0,1,0,debit,5.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,5,assignment,AAPL shares,225.0,100,22500,debit,0.0
2025/04/17 00:00:00,11:00:00 PM GMT+3,5,sell to close,AAPL shares,196.98,100,19698,credit,0.0
2025/04/21 00:00:00,10:45:00 PM GMT+3,36,sell to open,AAPL $180 put exp. 5/30/2025,602.0,1,602,credit,1.142
2025/04/22 00:00:00,10:45:00 PM GMT+3,37,sell to open,AAPL $190 put exp. 5/30/2025,637.0,1,637,credit,1.142
2025/04/23 00:00:00,10:45:00 PM GMT+3,38,sell to open,AAPL $195 put exp. 5/30/2025,602.0,1,602,credit,1.142
2025/04/24 00:00:00,10:45:00 PM GMT+3,39,sell to open,AAPL $200 put exp. 6/6/2025,642.0,1,642,credit,1.142
2025/04/25 00:00:00,10:45:00 PM GMT+3,40,sell to open,AAPL $200 put exp. 6/6/2025,590.0,1,590,credit,1.142
2025/04/25 00:00:00,11:00:00 PM GMT+3,6,exercise,AAPL $225 put exp. 4/25/2025,0.0,1,0,debit,5.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,6,assignment,AAPL shares,225.0,100,22500,debit,0.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,6,sell to close,AAPL shares,209.28,100,20928,credit,0.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,7,exercise,AAPL $215 put exp. 4/25/2025,0.0,1,0,debit,5.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,7,assignment,AAPL shares,215.0,100,21500,debit,0.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,7,sell to close,AAPL shares,209.28,100,20928,credit,0.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,8,exercise,AAPL $210 put exp. 4/25/2025,0.0,1,0,debit,5.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,8,assignment,AAPL shares,210.0,100,21000,debit,0.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,8,sell to close,AAPL shares,209.28,100,20928,credit,0.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,9,expiration,AAPL $205 put exp. 4/25/2025,0.0,1,0,debit,0.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,10,expiration,AAPL $200 put exp. 4/25/2025,0.0,1,0,debit,0.0
2025/04/25 00:00:00,11:00:00 PM GMT+3,11,expiration,AAPL $200 put exp. 4/25/2025,0.0,1,0,debit,0.0
2025/04/28 00:00:00,10:45:00 PM GMT+3,41,sell to open,AAPL $200 put exp. 6/6/2025,500.0,1,500,credit,1.142
2025/04/29 00:00:00,10:45:00 PM GMT+3,42,sell to open,AAPL $200 put exp. 6/20/2025,580.0,1,580,credit,1.142
2025/04/30 00:00:00,10:45:00 PM GMT+3,43,sell to open,AAPL $200 put exp. 6/20/2025,610.0,1,610,credit,1.142
2025/05/01 00:00:00,10:45:00 PM GMT+3,44,sell to open,AAPL $205 put exp. 6/13/2025,647.0,1,647,credit,1.142
2025/05/02 00:00:00,10:45:00 PM GMT+3,45,sell to open,AAPL $195 put exp. 6/13/2025,467.0,1,467,credit,1.142
2025/05/02 00:00:00,11:00:00 PM GMT+3,12,expiration,AAPL $205 put exp. 5/2/2025,0.0,1,0,debit,0.0
2025/05/02 00:00:00,11:00:00 PM GMT+3,13,expiration,AAPL $200 put exp. 5/2/2025,0.0,1,0,debit,0.0
2025/05/02 00:00:00,11:00:00 PM GMT+3,14,expiration,AAPL $205 put exp. 5/2/2025,0.0,1,0,debit,0.0
2025/05/02 00:00:00,11:00:00 PM GMT+3,15,expiration,AAPL $205 put exp. 5/2/2025,0.0,1,0,debit,0.0
2025/05/02 00:00:00,11:00:00 PM GMT+3,16,expiration,AAPL $205 put exp. 5/2/2025,0.0,1,0,debit,0.0
2025/05/02 00:00:00,11:00:00 PM GMT+3,17,exercise,AAPL $210 put exp. 5/2/2025,0.0,1,0,debit,5.0
2025/05/02 00:00:00,11:00:00 PM GMT+3,17,assignment,AAPL shares,210.0,100,21000,debit,0.0
2025/05/02 00:00:00,11:00:00 PM GMT+3,17,sell to close,AAPL shares,205.35,100,20535,credit,0.0
2025/05/05 00:00:00,10:45:00 PM GMT+3,46,sell to open,AAPL $190 put exp. 6/20/2025,525.0,1,525,credit,1.142
2025/05/06 00:00:00,10:45:00 PM GMT+3,47,sell to open,AAPL $190 put exp. 6/20/2025,490.0,1,490,credit,1.142
2025/05/07 00:00:00,10:45:00 PM GMT+3,48,sell to open,AAPL $185 put exp. 6/20/2025,462.0,1,462,credit,1.142
2025/05/08 00:00:00,10:45:00 PM GMT+3,49,sell to open,AAPL $190 put exp. 6/20/2025,505.0,1,505,credit,1.142
2025/05/09 00:00:00,10:45:00 PM GMT+3,50,sell to open,AAPL $190 put exp. 6/20/2025,477.0,1,477,credit,1.142
2025/05/09 00:00:00,11:00:00 PM GMT+3,20,exercise,AAPL $215 put exp. 5/9/2025,0.0,1,0,debit,5.0
2025/05/09 00:00:00,11:00:00 PM GMT+3,20,assignment,AAPL shares,215.0,100,21500,debit,0.0
2025/05/09 00:00:00,11:00:00 PM GMT+3,20,sell to close,AAPL shares,198.53,100,19853,credit,0.0
2025/05/09 00:00:00,11:00:00 PM GMT+3,21,exercise,AAPL $205 put exp. 5/9/2025,0.0,1,0,debit,5.0
2025/05/09 00:00:00,11:00:00 PM GMT+3,21,assignment,AAPL shares,205.0,100,20500,debit,0.0
2025/05/09 00:00:00,11:00:00 PM GMT+3,21,sell to close,AAPL shares,198.53,100,19853,credit,0.0
2025/05/12 00:00:00,10:45:00 PM GMT+3,51,sell to open,AAPL $200 put exp. 6/27/2025,385.0,1,385,credit,1.142
