Date,Time,Trade No.,Type,Instrument,Price,Quantity,Value,Effect,Fees
2/28/2025,10:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $230 put exp. 4/17/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/3/2025,10:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $225 put exp. 4/17/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/4/2025,10:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $225 put exp. 4/17/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/5/2025,10:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $225 put exp. 4/17/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/6/2025,10:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $225 put exp. 4/17/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/7/2025,10:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $225 put exp. 4/25/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/10/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $215 put exp. 4/25/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/11/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $210 put exp. 4/25/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/12/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $205 put exp. 4/25/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/13/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $200 put exp. 4/25/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/14/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $200 put exp. 4/25/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/17/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $205 put exp. 5/2/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/18/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $200 put exp. 5/2/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/19/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $205 put exp. 5/2/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/20/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $205 put exp. 5/2/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/21/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $205 put exp. 5/2/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/24/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $210 put exp. 5/2/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/25/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $215 put exp. 5/16/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/26/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $210 put exp. 5/16/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/27/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $215 put exp. 5/9/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/28/2025,9:45:00 PM GMT+2,1/1/1970,sell to open,AAPL $205 put exp. 5/9/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
3/31/2025,10:45:00 PM GMT+3,1/1/1970,sell to open,AAPL $210 put exp. 5/16/2025,1/1/1970,1/1/1970,1/1/1970,credit,1/1/1970
